Cycle:           3, Read Miss , Address: 00000000, Read Data : xxxxxxxx
Cycle:          17, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          18, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:          19, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:          20, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:          21, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:          22, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:          23, Read Hit  , Address: 0000001c, Read Data : 00001111
Cycle:          24, Read Miss , Address: 00000400, Read Data : eeeeffff
Cycle:          38, Read Hit  , Address: 00000404, Read Data : c00cd00d
Cycle:          39, Read Hit  , Address: 00000408, Read Data : a00ab00b
Cycle:          40, Read Hit  , Address: 0000040c, Read Data : 80089009
Cycle:          41, Read Hit  , Address: 00000410, Read Data : 60067007
Cycle:          42, Read Hit  , Address: 00000414, Read Data : 40045005
Cycle:          43, Read Hit  , Address: 00000418, Read Data : 20023003
Cycle:          44, Read Hit  , Address: 0000041c, Read Data : 00001001
Cycle:          45, Read Miss , Address: 00000200, Read Data : e00ef00f (Write Back!)
Cycle:          69, Read Hit  , Address: 00000204, Read Data : fedcba98
Cycle:          70, Read Hit  , Address: 00000208, Read Data : 89abcdef
Cycle:          71, Read Hit  , Address: 0000020c, Read Data : 01234567
Cycle:          72, Read Hit  , Address: 00000210, Read Data : 76543210
Cycle:          73, Read Hit  , Address: 00000214, Read Data : fedcba98
Cycle:          74, Read Hit  , Address: 00000218, Read Data : 89abcdef
Cycle:          75, Read Hit  , Address: 0000021c, Read Data : 01234567
Cycle:          76, Read Hit  , Address: 00000400, Read Data : e00ef00f
Cycle:          77, Read Hit  , Address: 00000404, Read Data : c00cd00d
Cycle:          78, Read Hit  , Address: 00000408, Read Data : a00ab00b
Cycle:          79, Read Hit  , Address: 0000040c, Read Data : 80089009
Cycle:          80, Read Hit  , Address: 00000410, Read Data : 60067007
Cycle:          81, Read Hit  , Address: 00000414, Read Data : 40045005
Cycle:          82, Read Hit  , Address: 00000418, Read Data : 20023003
Cycle:          83, Read Hit  , Address: 0000041c, Read Data : 00001001
Cycle:          84, Read Miss , Address: 00000000, Read Data : 76543210
Cycle:          98, Read Hit  , Address: 00000004, Read Data : ccccdddd
Cycle:          99, Read Hit  , Address: 00000008, Read Data : aaaabbbb
Cycle:         100, Read Hit  , Address: 0000000c, Read Data : 88889999
Cycle:         101, Read Hit  , Address: 00000010, Read Data : 66667777
Cycle:         102, Read Hit  , Address: 00000014, Read Data : 44445555
Cycle:         103, Read Hit  , Address: 00000018, Read Data : 22223333
Cycle:         104, Read Hit  , Address: 0000001c, Read Data : 00001111
